Domaine,Millésime,Appellation,Désignation,Cru,Type,Région,Cépage principal,Début apogée,Fin apogée,Note,Prix achat,Lieu Achat,Date Achat,Nombre,CA Connu,Date dégustation,Ma Note,Commentaire
Chateau Haut-Plantade,2009,Pessac - Léognan,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2013,2027,5/5,,Cadeau Faz,25/12/2020,0,,09/09/2023,0,"Soirée oenologie avec Mika, Claire, Nico, Vangélis et Cécile. Malheureusement ce vin avait tourné"
Château Fourcas Dupré,2012,Listrac - Médoc,,,Rouge,Bordeaux,"Cabernet Sauvigon, Merlot, Cabernet Franc",2017,2027,3/5,"16,9",Monoprix FAV,03/10/2020,0,0,"30/09/2022
05/02/2024","3,5
3,5","Tout seul. J'ai bien aimé les notes de sous bois, cuir, comme les bordeaux que j'aime. Tanins présents mais fondus. A voir en carafant un peu avant pour la prochaine
Tout seul"
Château Haut-Tellas,2017,Côtes de Bordeaux,,,Rouge,Bordeaux,"Cabernet Sauvignon, Cabernet Franc, Merlot",2019,2027,4/5,18,Marché,22/09/2024,0,0,03/10/2025,"3,5",Encore bon contrairement au 2016 qui était passé
Domaine des Bouquerries,2017,Chinon,Cuvée Royale,,Rouge,Val de Loire et Centre,Cabernet Franc,2020,2027,,"6,8",Producteur,01/06/2019,0,,"27/02/2020
29/02/2020","3
3","Bu avec Cécile. Se laisse boire, mais aucun corps. Pas désagréable mais très léger et pas un grand vin.
Idem"
Domaine des Bouquerries,2017,Chinon,Cuvée Confidence,,Rouge,Val de Loire et Centre,Cabernet Franc,2020,2027,4/5,14,Producteur,01/06/2019,0,,"22/06/2019
27/03/2019","4
4","Suite déménagement. Très bien pour du Chinon. Pas un grand vin mais ce qu'on attend de lui
Avec les beaux parents"
Fournier Pere & Fils,2017,Pouilly Fumé,Les Deux Cailloux,,Blanc,Val de Loire et Centre,Sauvignon Blanc,2020,2027,4/5,"11,65",Vente-Privée,01/07/2019,0,,"24/01/2020
14/03/2020
01/05/2020","4
4
4","Bu avec Cécile. Très bon pouilly fumé. Je ne suis pas mécontent d'avoir acheté ce vin sur veepee.
Bu avec Nico Marc Yannick. Très bon pouilly fumé, toujours content
Apéro virtuel Mika Marine. Toujours très bien."
Le Clos Coquimbert,2017,Chinon,,,Rouge,Val de Loire et Centre,Cabernet Franc,2020,2027,4/5,,Producteur,18/07/2020,0,,"05/07/2021
05/10/2021
11/11/2021
22/05/2023","2,5
3,5
3
3","Déçu car le 2014 était exceptionnel. Celui-ci n'est pas complexe et n'a pas d'intérêt particulier. Légère acidité qui laisserait penser qu'il peut encore vieillir
Moins déçu que la dernière fois. Il avait plus de goût même si le 2014 est un cran bien au dessus
Avec Guillaume et Kadidja. Correct sans plus. Trop acide
Avec Mathieu. Trop acide pour moi"
Nuiton-Beaunoy,2017,Volnay,,,Rouge,Bourgogne,Pinot Noir,2020,2027,3/5,"22,5",Producteur,29/11/2019,0,,23/09/2022,"4,5",Avec Jean. Très bon. Il a été carafé avant
Nuiton-Beaunoy,2017,Volnay,Les Chanlins,Premier cru,Rouge,Bourgogne,Pinot Noir,2020,2027,3/5,"32,9",Producteur,29/11/2019,0,0,30/03/2025,"4,5",Vraiment très très bon. Avec Elodie et Ronan sur poulet rôti
Fourrey,2017,Chablis Premier cru,Vaillons,,Blanc,Bourgogne,Chardonnay,2021,2027,4/5,13,Salon,02/12/2018,0,,"21/02/2020
31/10/2021","4
4,5","Bu avec Cécile. Vraiment très bon. Gras, avec le goût du chardonnay bien prononcé. Ressemble à un champagne sans bulle presque. A racheter.
Toujours très bon. Bu en amoureux sur un plateau de fruit de mer. Passe très très bien. Sec et bien minéral"
Nuiton-Beaunoy,2019,Maranges,,,Rouge,Bourgogne,Pinot Noir,2021,2027,4/5,"17,3",Domaine,27/05/2023,1,"17,3",17/05/2025,"3,5",Avec les parents de Cécile sur un boeuf bourguignon. Très correct mais je l'ai trouvé un peu trop acide
Domaine de Monthélys,2019,Faugères,Ors de Schiste,,Rouge,Languedoc Roussillon,"Cinsault, Carignan, Mourvèdre",2022,2027,3/5,24,Salon,01/12/2021,1,24,17/03/2024,4,Avec mes parents pour l'annonce de bébé. Très correct. Manque peut être un peu de subtilité mais nous avons bien aimé
Domaine Jean-Paul Paquet & Fils,2020,Saint Véran,Domaine Fussiacus,,Blanc,Bourgogne,Chardonnay,2022,2027,4/5,"11,8",Salon,01/12/2021,0,,"17/12/2021
01/06/2023","4
4",Avec Michel qui l'a trouvé très bon
Pierre-Marie Chermette Vissous,2021,Brouilly,Pierreux,,Rouge,Beaujolais,Gamay,2022,2027,,,Cadeau Marion,24/07/2022,1,0,"08/06/2023
19/09/2023
09/12/2023
24/04/2024
02/06/2024","4
4
3,5
4
4","Avec Nico Vangélis et Cécile. Tout le monde a beaucoup aimé. Avec un gratin de choux fleur, pates et lardons
Avec mes parents sur des pâtes aux lardons. Très bien. Assez léger mais pas trop avec beaucoup de fruit. Mis au frigo un peu de temps avant
Avec Nico en mangeant du jap. Correct mais moins sympa que les dernières fois
Avec Michel. Très bien, toujours un peu poivré et fruité
Avec mes parents"
Terres Secrètes,2020,Saint Véran,Les Cras,,Blanc,Bourgogne,Chardonnay,2022,2027,4/5,"16,3",Domaine,27/05/2023,0,0,"20/11/2023
30/06/2025","3,5
3,5","Avec Cécile. Je n'ai pas pris de note sur le moment mais je crois qu'il était vraiment pas mal
Avec Cécile pour son anniversaire. Très correct mais je préfère Croix de Montceau"
Castel Firmian,2022,Pinot Grigio,Riserva,,Blanc,Toscane,Pinot Gris,2024,2027,4/5,,Boutique,22/06/2024,1,0,,,
Château de la Violette,2022,Roussette de Savoie,,,Blanc,Savoie et Bugey,Roussette,2024,2027,5/5,"9,5",Vinatis,29/12/2023,0,0,"07/01/2023
06/05/2024","2
2","Pas top du tout. Un peu vert
Pour le finir, tout seul"
Domaine des Génaudières,2022,Muscadet - Côteaux de la Loire,La Coulée d'Or - Sur Lie,,Blanc,Val de Loire et Centre,Melon de Bourgogne (Muscadet),2024,2027,,"6,8",Domaine,21/05/2023,0,,"24/07/2023
08/09/2023
11/09/2023","2,5
2,5
2,5","Pour fêter l'enlèvement du stérilet. Trop acide
Tout seul. Sans intérêt, plat et trop acide
Dernier pour prendre l'apéro avec Cécile en mettant des glaçons"
Domaine des Ruaults,2022,Saumur,,,Blanc,Val de Loire et Centre,Chenin,2024,2027,4/5,9,Marché,17/09/2023,0,,06/10/2023,"3,5",Très correct
La Meulière,2022,Chablis Premier cru,Les Gougueys,,Blanc,Bourgogne,Chardonnay,2024,2027,4/5,26,Salon,23/03/2025,2,52,,,
Philippe Tupinier,2022,Chablis,,,Blanc,Bourgogne,Chardonnay,2024,2027,4/5,17,Producteur,16/02/2025,0,0,07/04/2025,3,Correct mais trop cher par rapport à la concurrence
Domaine Jean-Paul Paquet & Fils,2018,Pouilly Vinzelles,Domaine Fussiacus,,Blanc,Bourgogne,Chardonnay,2020,2028,4/5,"14,7",Salon,01/12/2021,0,,"07/10/2022
07/04/2023","3,5
3,5","Avec Chouch/Mag et Nico. Bien
Avec Tanja et Séverine"
Mas Amiel,2018,Côtes du Roussillon Villages,Carerades (MAGNUM),,Rouge,Languedoc Roussillon,"Carignan, Cinsault, Grenache Noir",2020,2028,4/5,30,Leclerc,23/10/2022,1,30,,,
Confrérie du Jurançon,2018,Jurançon,,,Blanc moelleux,Jurançon,"Gros Manseng, Petit Manseng, Courbu Blanc",2021,2028,4/5,,Nicolas,04/01/2020,0,,20/07/2023,3,Pour l'anniv de Véro. Correct sans plus
Domaine des Bouquerries,2018,Chinon,Cuvée Royale,,Rouge,Val de Loire et Centre,Cabernet Franc,2021,2028,,"6,8",Producteur,01/06/2019,0,,"09/06/2019
18/03/2020
28/03/2020","3
3,5","3 cassées dans la cave
Assez amer. Je suis plutôt déçu car je le trouvais meilleur quand je l'avais acheter.
J'étais dur il y a 10 jours. Il passe plutôt bien et vu le prix, on ne pouvait pas attendre mieux"
Domaine Grangier,2018,Saint Joseph,Côtes Granits,,Rouge,Vallée du Rhône,Syrah,2021,2028,4/5,"14,99",Valap,28/01/2021,2,"29,98","29/01/2021
02/05/2021
17/05/2023
26/01/2025","4
4
-
4","Pour goûter. Vraiment très prometteur. Peut-être attendre encore 2/3 ans...
Avec Nico et Manu. Il était bon.
Offert à Jessie et Mathieu
Avec Greg et Anne-Laure. On a bien aimé"
Domaine Raymond Usseglio,2018,Châteauneuf du Pape,Cuvée Impériale,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Mourvèdre",2021,2028,4/5,"44,99",Valap,26/08/2021,1,"44,99","23/04/2025
23/04/2025","0
3","Avec Mika et Marine. Bouchonnée
Avec Mika et Marine. Correct mais vu le prix et les avis, nous ne l'avons pas trouvé exceptionnel"
Fournier Pere & Fils,2018,Pouilly Fumé,Les Deux Cailloux,,Blanc,Val de Loire et Centre,Sauvignon Blanc,2021,2028,2/5,,Veepee,24/04/2020,0,,02/11/2021,"3,5","Avec Anne-Laure et Greg. Correct mais sans plus. La grande cuvée était exceptionnel, celui là est très basique"
Luyton Fleury,2018,Saint Joseph,Origine,,Rouge,Vallée du Rhône,Syrah,2021,2028,4/5,25,Salon,01/12/2021,0,0,"24/09/2022
26/01/2024","4,5
4","Avec Delphine. Carafé avant. Très bon et très fruité
Au ski avec les mecs. J'aime toujours bien"
Nicolas Theuriet,2018,Marsannay,,,Rouge,Bourgogne,Pinot Noir,2021,2028,3/5,16,Auchan,11/03/2021,0,0,"31/12/2023
25/08/2024","4
4","Nouvel an en Bourgogne avec les potes. J'ai adoré, Nico aussi. Très fruité, assez suave et quand même puissant
Avec les parents de Cécile. On a tous adoré"
Château Moulin Favre,2020,Moulin à Vent,Cuvée Célina,,Rouge,Beaujolais,Gamay,2022,2028,4/5,12,Salon,01/12/2021,1,12,30/06/2022,"3,5",Bu avec Math et Jess pour l'anniversaire de Cécile. Prometteur mais trop jeune
Domaine Rois Mages,2020,Rully,Les Cailloux,,Blanc,Bourgogne,Chardonnay,2022,2028,4/5,"19,5",Salon,23/11/2022,0,0,"01/04/2023
05/04/2025","4
4","Avec Kev et; Sarah
Avec Mehdi. On a beaucoup aimé"
Domaine Rois Mages,2020,Rully,Clos du Moulin à Vent,,Blanc,Bourgogne,Chardonnay,2022,2028,4/5,21,Salon,29/11/2023,0,0,23/04/2025,"3,5","Avec Mika et Marine, ils ont aimé. Moi aussi mais je préfère l'autre"
La Crimas de Sy,2018,Crozes - Hermitage,,,Rouge,Vallée du Rhône,Syrah,2022,2028,4/5,"13,5",Auchan,12/11/2020,0,,16/02/2022,"4,5","Avec Nico et Cécile, sur un riz cantonnais et brochette poulet citronnelle gingembre. Très bon association et on a tous adoré. Il faudrait en racheter"
Vincent Girardin,2020,Moulin à Vent,Domaine de la Tour du Bief,,Rouge,Beaujolais,Gamay,2022,2028,4/5,"9,7",Auchan FAV,08/09/2022,2,"19,4",,,
Domaine Masse,2020,Givry,La Brûlée,Premier cru,Rouge,Bourgogne,Pinot Noir,2023,2028,4/5,"17,99",Auchan FAV,20/09/2021,1,"17,99",,,
Terres Secrètes,2021,Saint Véran,Croix de Montceau,,Blanc,Bourgogne,Chardonnay,2023,2028,3/5,"14,9",Domaine,27/05/2023,0,0,"22/02/2025
21/03/2025","4
4","Avec les parents de Cécile qui l'ont trouvé extraordinaire
Avec Tanja, toujours très bon"
Jean François Trichard,2023,Mâcon - Chaintré,Domaine des Pierres,,Blanc,Bourgogne,Chardonnay,2024,2028,5/5,"10,5",Salon,27/11/2024,0,0,"13/02/2025
26/04/2025","3
2","Avec Cécile. Déçu le premier jour mais meilleur le second
Chez Math et Jess pour les 40 ans de Math. Ne pas racheter je n'ai pas aimé du tout"
Valery Renaudat,2022,Reuilly,Les Lignis,,Rouge,Val de Loire et Centre,Pinot Noir,2024,2028,5/5,"12,5",Marché,19/11/2023,0,0,22/04/2024,"3,5",Avec Michel
Castel Firmian,2023,Pinot Grigio,Trentino,,Blanc,Toscane,Pinot Gris,2025,2028,,,Boutique,22/06/2024,0,0,27/09/2025,4,Très bien. On adore le Pinot Grigio avec Cécile
Silène des Peyrals,2023,Grès de Montpellier,Mas du Silène,,Rouge,Languedoc Roussillon,"Grenache Noir, Mourvèdre, Syrah",2025,2028,4/5,10,Nicolas,17/11/2024,3,30,,,
Henri de Villamont,2014,Pouilly Fuissé,Grumes d'Or,,Blanc,Bourgogne,Chardonnay,2017,2029,5/5,18,Veepee,28/04/2020,0,,"30/04/2020
23/05/2020
25/11/2022","4,5
4,5
4,5","Rond. Très bon Chardonnay
Week-end avec Marine et Mika à Pontault-Combault. J'aime toujours beaucoup, et mieux que celui acheté en salon
Soirée raclette avec Nico, Claire Cécile. On a tous adoré. Bu à l'apéro"
Château Chasse-Spleen,2014,Moulis en Médoc,L'Oratoire,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Petit Verdot",2018,2029,3/5,,Cadeau Interforum,27/06/2017,1,0,,,
Château Chasse-Spleen,2014,Moulis en Médoc,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Petit Verdot",2018,2029,3/5,"24,95",Super U,23/12/2017,1,"24,95",,,
Louis Jadot,2014,Aloxe - Corton,,,Rouge,Bourgogne,Pinot Noir,2018,2029,4/5,"36,9",Valap,10/08/2019,1,"36,9","11/08/2019
23/11/2023","3,5
3,5","Bu avec Mika. Trop acide, mais cela s'atténue avec le temps (au moins 2h). Cela reste trop quand même mais belle attaque. A voir dans quelques années
Thanksgiving avec Nico et Vangélis. Correct, mais sans plus avec purée de patate douce orange clou de girofle. Trop banal du coup"
Domaine de Bénéjou,2014,Cahors,,,Rouge,Sud Ouest,"Côt Noir, Merlot, Tannat",2019,2029,3/5,10,Marché,15/02/2020,0,,"05/10/2020
22/12/2020","3,5
3,5","Tout seul. Très correct mais rien d'exceptionnel non plus. Pas énormément de corps mais goût agréable. Bon rapport qualité prix.
Même avis"
Trois Cazelles,2014,Cahors,Expression,,Rouge,Sud Ouest,"Côt Noir, Merlot, Tannat",2019,2029,3/5,,Marché,10/12/2017,0,,03/12/2022,3,Bu avec poulet roti purée choux fleur. Cécile et Claire des Bois l'on trouvé correct. Je ne l'ai pas trop aimé. Un peu mieux avec le poulet mais je m'attendais à mieux
Trois Cazelles,2014,Cahors,Cuvée prestige,,Rouge,Sud Ouest,"Côt Noir, Merlot, Tannat",2019,2029,3/5,,Marché,10/12/2017,0,0,15/01/2024,4,Vraiment pas mal avec des pâtes carbo
Philippe Tupinier,2017,Irancy,Vendanges manuelles,,Rouge,Bourgogne,Pinot Noir,2020,2029,3/5,"14
14","Marché
Marché","16/11/2019
15/02/2020",0,,"14/03/2020
31/10/2022","3,5
3,5","Bu avec Nico Marc et Yannick. Très correct même si relativement léger
Avec les parents de Cécile. Trop vieux car goût de fruits confits. Cécile a aimé, moi pas trop car pas assez léger. Les parents je ne pense pas"
Jeff Carrel,2019,Corbières,Les Herbes Hautes,,Rouge,Languedoc Roussillon,"Carignan, Grenache Noir, Cinsault",2021,2029,3/5,"9,5",Nicolas,17/09/2022,0,,26/11/2022,3,"Pour vider la cave. Très correct. Semble léger malgré 14,5%, fruité, mais pas de longueur en bouche"
Leon Baur,2019,Alsace Riesling,Cuvée Elisabeth Stumpf,,Blanc,Alsace,Riesling,2021,2029,5/5,,Cadeau Faz,12/02/2023,1,0,,,
Cave Saint Désirat,2019,Saint Joseph,,,Rouge,Vallée du Rhône,Syrah,2022,2029,4/5,,Cadeau Jean,22/09/2021,1,0,,,
Domaine FL,2019,Anjou Chenin,Les Bergères,,Blanc,Val de Loire et Centre,Chenin,2022,2029,3/5,16,Caves du Louvre,27/11/2022,0,,14/12/2022,"3,5","Bien. Pétille un peu au début, mas a bien aérer pour chasser le gaz"
Domaine Miramont,2019,Vacqueyras,,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Mourvèdre",2022,2029,4/5,,Nicolas,12/03/2022,1,0,,,
Domaine Renaud,2019,Pouilly Fumé,,,Blanc,Val de Loire et Centre,Sauvignon Blanc,2022,2029,3/5,"13,9",Nicolas,24/04/2021,0,,04/06/2021,4,"Bu avec les parents. Très bon Pouilly Fumé, minéral mais quand même bien fruité"
Nuiton-Beaunoy,2019,Volnay,,,Rouge,Bourgogne,Pinot Noir,2022,2029,4/5,"28,3",Domaine,27/05/2023,1,"28,3",,,
Domaine Belle,2019,Crozes - Hermitage,Roche Pierre,,Rouge,Vallée du Rhône,Syrah,2023,2029,4/5,43,Salon,23/11/2022,1,43,,,
Domaine Michelas St Jemms,2019,Crozes - Hermitage,La Chasselière,,Rouge,Vallée du Rhône,Syrah,2023,2029,4/5,22,Salon,20/03/2022,0,,05/02/2023,4,Avec Nico et Cécile sur saumon fumé. Très bon
Domaine Rois Mages,2021,Rully,Les Cailloux,,Blanc,Bourgogne,Chardonnay,2023,2029,3/5,21,Salon,29/11/2023,0,0,19/07/2025,4,Avec les voisins du 5ème
Château de Le Chaize,2023,Brouilly,Moulin Favre,,Rouge,Beaujolais,Gamay,2024,2029,,"14,9",FAV Monoprix,13/09/2025,1,"14,9",,,
Château Latour-Martillac,2012,Pessac - Léognan,,Grand cru classé,Blanc,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2016,2030,3/5,,,12/10/2019,0,,11/11/2022,"4,5",Avec Mika/Marine/Nico/Cécile. Soirée oenologie. Très bon surtout en mangeant thon/saint Moret. Cécile n'aime pas trop. Goût de pêche. Peut-être un poil trop acide ?
Château Saint Eugène,2012,Pessac - Léognan,Martillac,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2016,2030,3/5,15,Salon,24/03/2019,0,,"15/08/2019
12/10/2019",4,"Une bouteille offerte aux parents de Cécile pour remercier de l'accueil en vacances
Crémaillère Manu. Très bon, assez léger mais arômes très agréables."
Château Tour Prignac,2015,Médoc,,,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Petit Verdot",2019,2030,4/5,"9,9",Monoprix,24/03/2018,0,,03/09/2021,"2,5",Sans réel intérêt
Château Lestage,2015,Listrac - Médoc,Chêne-Besson,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2020,2030,4/5,"14,3",Nicolas,24/04/2021,0,,"20/01/2023
14/10/2023","3,5
3,5","Promo sinon 17,90 la bouteille. Correct mais peut être laisser la dernière encore quelques années en cave
Correct. Tout seul avec un plat grec"
Trois Cazelles,2015,Cahors,Expression,,Rouge,Sud Ouest,"Côt Noir, Merlot, Tannat",2020,2030,4/5,"15,5",Marché,21/11/2020,0,,11/04/2023,"3,5",Pas noté
Valery Renaudat,2023,Reuilly,Le sentier,,Rouge,Val de Loire et Centre,Pinot Noir,2025,2029,3/5,17,Producteur,17/05/2025,1,17,01/11/2025,4,"Super vin, fruité et pas trop fort. Avec Papou et Nanou qui ont adoré"
Tussock Jumper,2020,Malbec,,,Rouge,"San Juan, Argentine",Malbec,2021,2030,4/5,"5,9",Vinatis,29/05/2021,0,0,17/04/2024,"3,5","Pris pour les vacances. Pas mal surtout pour ce niveau de prix, Avec un poulet rôti et une purée maison"
Domaine Haut Maginiai,2024,Languedoc Pic Saint Loup,Grande Réserve,,Rouge,Languedoc Roussillon,"Carignan, Cinsault, Grenache Noir",2026,2029,4/5,,0,07/09/2025,2,0,,,
La Prieuré,2020,Corbières,,,Rouge,Languedoc Roussillon,"Carignan, Grenache Noir, Cinsault",2022,2030,4/5,,Nicolas,12/03/2022,0,,24/04/2023,"3,5",Pas mal pour un corbière
Philippe Tupinier,2018,Irancy,Vendanges Manuelles,,Rouge,Bourgogne,Pinot Noir,2021,2030,5/5,16,Marché,17/09/2023,1,16,,,
Jean Bouchard,2018,Chassagne - Montrachet,,,Rouge,Bourgogne,Pinot Noir,2022,2030,3/5,"21,95",Veepee,20/04/2021,1,"21,95",16/02/2023,"3,5","Avec Nico et Vangélis sur un veau Orloff. Pas mal comme association, bon vin, mais pas exceptionnel non plus. Légèrement perlé."
Derey Frères,2020,Marsannay,Les Vignes Marie,,Rouge,Bourgogne,Pinot Noir,2023,2030,4/5,24,Salon,23/11/2022,2,48,,,
Domaine Le Martinat,2020,Pécharmant,Cuvée Marguerite,,Rouge,Sud Ouest,"Cabernet Franc, Cabernet Sauvignon, Merlot",2024,2030,5/5,11,Marché,17/09/2023,0,0,31/01/2024,1,Pas bon
Domaine Michelas St Jemms,2020,Crozes - Hermitage,La Chasselière,,Rouge,Vallée du Rhône,Syrah,2024,2030,4/5,22,Salon,20/03/2022,0,,23/11/2023,"3,5",Thanksgiving avec Nico et Vangélis. Correct mais je l'ai trouvé un peu trop agressif à mon goût. Je crois que j'avais préféré le 2019
Mouton Père et Fils,2020,Condrieu,Côte Chatillon,,Blanc,Vallée du Rhône,Viognier,2023,2030,3/5,34,Salon,01/12/2021,1,34,09/09/2023,3,"Soirée oenologie avec Mika Claire Nico Vangélis et Cécile. N'a pas convaincu, un peu amer et le viognier ne semble pas être un cépage apprécié de mes amis"
Château Saint-Cels,2022,Saint Chinian,,,Rouge,Languedoc Roussillon,"Carignan, Cinsault, Syrah",2025,2030,4/5,,,03/06/2024,0,0,01/07/2024,2,De mémoire sans intérêt
Nuiton-Beaunoy,2020,Volnay,Chanlin,Premier cru,Rouge,Bourgogne,Pinot Noir,2023,2030,4/5,"38,25",Domaine,27/05/2023,1,"38,25",,,
Nuiton-Beaunoy,2022,Maranges,,,Rouge,Bourgogne,Pinot Noir,2024,2030,4/5,"18,75",Producteur,07/06/2025,1,"18,75",,,
Nudant,2016,Ladoix,Les Buis,1er cru,Rouge,Bourgogne,Pinot Noir,2019,2031,3/5,27,Salon,02/12/2018,0,,"15/01/2023
26/07/2023","4,5
4,5","Avec Mika et Nico sur un poulet roti frites. On a adoré. Carafé 2h avant.
Avec mes parents qui gardaient Roman. Ils ont beaucoup aimé sur un poulet frite. Carafé avant"
Château La Mouline,2016,Moulis en Médoc,,Cru Bourgeois,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Petit Verdot",2020,2031,5/5,19,Salon,24/03/2019,0,0,"15/12/2021
24/01/2025","3,5
3,5","Correct mais léger et pas de longueur en bouche. Ce n'est pas le Moulis en Médoc à racheter
Même avis que précédemment"
Château de Rouffiac,2016,Cahors,La Passion,,Rouge,Sud Ouest,"Malbec, Merlot, Tannat",2021,2031,4/5,12,Salon,20/03/2022,0,,"29/12/2022
12/02/2023",4,"Offert à Mathieu et Jess
Avec les parents sur un rôti de boeuf. Très bon, fruité."
Château Ferrande,2016,Graves,,,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Cabernet Franc",2021,2031,5/5,11,Nicolas,03/12/2020,0,0,"20/02/2025
11/05/2025","3,5
3,5","Correct
Tout seul, correct"
Domaine Chanson,2022,Mercurey,,,Rouge,Bourgogne,Pinot Noir,2025,2030,5/5,"29,9",FAV Monoprix,28/09/2025,1,"29,9",,,
Grand Enclos du Château de Cérons,2016,Graves,,,Blanc,Bordeaux,"Sémillon, Sauvignon Blanc, Muscadelle",2021,2031,2/5,"11,9",Valap,19/05/2020,0,,"13/06/2020
14/12/2021
02/04/2022
17/11/2022
07/04/2023
17/05/2023","4,5
4
4
4
4
-","Bu en normandie avec Mika et Marine. J'ai beaucoup aimé. Etonnament, il ressemble à du Chardonnay je trouve. Association fruits de mer pas top top en revanche
Bu avec Mathieu à la maison et très bon
Anniversaire de Claire D.
Avec Isa soirée beaujo nouveau. J'aime toujours bien ce vin blanc mais Cécile non, elle le trouve trop liquoreux. En général elle n'est pas Bordeaux Blanc
Avec Tanja et Séverine
Offert à Jessie et Mathieu"
Trois Cazelles,2016,Cahors,Cuvée prestige,,Rouge,Sud Ouest,"Côt Noir, Merlot, Tannat",2021,2031,4/5,"8,8",Marché,21/11/2020,0,0,14/06/2025,3,Correct mais un peu chaud par cette canicule
Château Jean Faure,2019,Saint Emilion,La Réserve,,Rouge,Bordeaux,"Cabernet Franc, Merlot",2023,2031,4/5,20,Caves du Louvre,27/11/2022,0,0,07/02/2025,4,"Tout seul pour faire tourner la cava. Très correct entre 3,5 et 4"
Domaine Ninot,2022,Mercurey,Les Crêts,Premier cru,Rouge,Bourgogne,Pinot Noir,2025,2030,5/5,35,Salon,29/11/2023,2,70,,,
Terres Secrètes,2023,Saint Véran,Croix de Montceau,,Blanc,Bourgogne,Chardonnay,2025,2030,5/5,"15,1",Producteur,07/06/2025,3,"45,3",25/10/2025,"4,5",Avec Papou et Nanou qui adorent toujours ce Saint Véran
Domaine du Château de Vergisson,2017,Pouilly - Fuissé,Sur la Roche,,Blanc,Bourgogne,Chardonnay,2020,2032,4/5,"17,2",Salon,24/03/2019,0,,"26/03/2020
08/05/2020","4,5
3,5","Bu en apéro virtuel avec Maxence et sa copine. Très bon :)
Chez Marine avec Mika suite confinement. J'ai moins aimé que la fois précédente. Mika et moi avons trouvé un arrière goût amer pas très agréable. Marine a adoré"
Château Lamartine,2016,Cahors,Cuvée Particulière,,Rouge,Sud Ouest,"Malbec, Merlot, Tannat",2021,2031,4/5,"12,9",Valap,26/08/2021,1,"12,9","24/09/2021
24/12/2021
02/04/2021
22/12/2022
15/11/2023","4
4
4
4
4","Tout seul pour me faire un avis. Pas mal, peut encore être gardé un peu.

Anniversaire de Claire D.
Très bien, tanins fondus
Avec mes parents et des spaghettis aux lardons. Je l'ai trouvé très bon. Pas eu de commentaire"
L'Excellence de Germignan,2017,Médoc,,,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Petit Verdot",2021,2032,3/5,,Cadeau,26/12/2019,0,,27/04/2021,1,"Pas bon, le goût n'a pas d'intérêt et il ne reste pas en bouche"
Grand Crès,2020,Corbières,Cuvée Majeure,,Rouge,Languedoc Roussillon,"Carignan, Grenache Noir, Cinsault",2022,2031,3/5,,Producteur,05/09/2025,1,0,,,
Cave de Tain,2021,Crozes - Hermitage,Nuit Blanche,,Rouge,Vallée du Rhône,Syrah,2025,2031,3/5,,Cadeau C.Desbois,03/12/2022,1,0,,,
Château Couhins,2014,Pessac - Léognan,La Dame des Couhins,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2018,2032,3/5,,Cadeau Interforum,27/06/2017,1,0,,,
Château Maucaillou,2017,Moulis en Médoc,No. 2 de Maucaillou,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Petit Verdot",2021,2032,3/5,"12,5",Auchan,12/11/2020,1,"12,5",01/10/2023,4,Très bon moulis qui a des tanins fondus et qui est fruité avec une belle longueur en bouche. J'ai beaucoup aimé. A racheter car très bon rapport qualité/prix
Domaine Cheveau,2018,Pouilly Fuissé,Les vieilles vignes,,Blanc,Bourgogne,Chardonnay,2021,2033,4/5,"18,9",Valap,30/06/2020,0,,"25/07/2020
12/08/2020
21/09/2020
07/12/2020
25/11/2022
07/04/2023","4,5
4,5
4,5
4,5
4
4","Avec Mika et Marine. Très bon Pouilly Fuissé. Mérite peut être de vieillir encore un peu
Avec Maxence et Anais. Même avis
Avec Mélissa. Toujours aussi bon
Avec Nico
Soirée raclette avec Nico, Claire Cécile. Je n'en ai pas pris mais il a l'air d'avoir plu. Moins que le grume d'or
Avec Tanja et Séverine"
Domaine de la Feuillarde,2018,Pouilly Fuissé,Vieilles Vignes,,Blanc,Bourgogne,Chardonnay,2021,2033,4/5,"15,3",Salon,20/03/2022,0,,"29/12/2022
29/01/2023","3,5
3,5","Chez Mathieu et Jess. J'ai apprécié
Chez chouch et mag avec un cevice"
Grand Crès,2021,Corbières,Crescendo,,Rouge,Languedoc Roussillon,"Carignan, Grenache Noir, Cinsault",2023,2032,3/5,,Producteur,05/09/2025,1,0,,,
